# Mapeo de 3.6.8.8 a 3.6.9.9.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
jzf		duda			
jzh		duda			
jzk		duda			
jzm		duda			
jzn		duda			
jzq		duda			
jzr		duda			
jzt		duda			
jzy		duda			
kaa		duda			
kab		duda			
kae		duda			
kag		duda			
kah	jua	estructura			
kal		duda			
kan		duda			
kao		duda			
kar		duda			
kas		duda			
kat		duda			
kav		duda			
kax		duda			
kay		duda			
kbb		duda			
kbe	kdk	estructura			
kbf		duda			
kbi	kfa	estructura			
kbj		duda			
kbk		duda			
kbl		duda			
kbm		duda			
kbx		duda			
kby		duda			
kcf		duda			
kcg		duda			
kch		duda			
kcj	kqu	estructura			
kcl	mam	estructura			
kcm		duda			
kcn		duda			
kco		duda			
kcp		duda			
kcq		duda			
kcu		duda			
kcw		duda			
kcy		duda			
kcz		duda			
kda		duda			
kdj		duda			
kdk		duda			
kdn		duda			
kdq		duda			
kea		duda			
keb		duda			
kec		duda			
ked		duda			
kee		duda			
kef		duda			
keg		duda			
kei		duda			
kej		duda			
kek		duda			
kel		duda			
kem		duda			
kez	kbk	estructura			
kfa		duda			
kfd		duda			
kff		duda			
kfh		duda			
kfn		duda			
kfo	jaj	estructura			
kfr		duda			
kft		duda			
kfu		duda			
kfy		duda			
kgb		duda			
kgc		duda			
kgd		duda			
kge		duda			
kgg		duda			
kgk		duda			
kgn		duda			
kgq	jpb	estructura			
kgr		duda			
kgs	iug	estructura			
kgt	knc	estructura			
kgw		duda			
kgy	khx	estructura			
kha		duda			
khb	luy	estructura			
khc		duda			
khd		duda			
khe		duda			
khf	kbj	estructura			
khh		duda			
khi	kha	estructura			
khl	mck	estructura			
khn		duda			
kho		duda			
khs		duda			
khu		duda			
khz		duda			
kia	lob	estructura			
kic		duda			
kie	hpv	estructura			
kij		duda			
kim		duda			
kiq		duda			
kir		duda			
