# Mapeo de Ankama.Dofus.Protocol.Game a 3.6.10.10.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
jwh		duda			sí
jwj		duda			
jwl		duda			sí
jwm		duda			sí
jwn		duda			
jwp		duda			
jwr		duda			
jwy	kfx	estructura			
jxa	kfz	estructura			
jxb	jrw	estructura			sí
jxc		duda			sí
jxf		duda			
jxi		duda			
jxl		duda			
jxm		duda			sí
jxp		duda			
jxq		duda			
jxt		duda			
jxu		duda			
jxv		duda			
jxw		duda			sí
jxx		duda			sí
jxz		duda			sí
jya	hqb	estructura			sí
jyb		duda			
jye		duda			
jyg		duda			sí
jyh		duda			
jyi	kba	estructura			sí
jyl		duda			
jym		duda			
jyn		duda			
jyo		duda			
jyp		duda			
jyv		duda			
jyz		duda			sí
jza		duda			
jzc		duda			sí
jzf		duda			
jzi		duda			
jzj		duda			
jzo		duda			
jzr	jzw	estructura			
jzs	lfu	estructura			
jzv		duda			
jzw		duda			
kaa		duda			sí
kad		duda			
kae		duda			sí
kah	idz	estructura			sí
kaj		duda			
kak		duda			
kal		duda			
kam		duda			sí
kan	kid	estructura			
kao		duda			
kap	luy	estructura			
kar		duda			
kas		duda			
kax		duda			
kay		duda			
kaz		duda			
kbb		duda			
kbc		duda			
kbd		duda			sí
kbe		duda			
kbg		duda			
kbj		duda			
kbk		duda			
kbl		duda			
kbm		duda			
kbo	ila	estructura			
kbp		duda			
kbq		duda			
kbu		duda			
kbv	lmr	estructura			
kbw		duda			
kbx		duda			
kcd	kjg	estructura			
kcf		duda			
kci		duda			sí
kcl		duda			
kcm		duda			
kcp		duda			
kcr		duda			sí
kcs		duda			
kcv		duda			
kcx	lcu	estructura			
kda		duda			
kdb	kde	estructura			
kdd		duda			
kdf		duda			
kdh		duda			
kdi		duda			
kdj		duda			
kdk	kha	estructura			
kdl		duda			
kdn		duda			
kdo		duda			
kdp		duda			
kdq		duda			
kdu		duda			
kdv		duda			
kdx		duda			sí
kdy		duda			
kdz		duda			
kea		duda			sí
keb		duda			
keg		duda			
kem		duda			
keq		duda			
ker	lob	estructura			
kes	hkm	estructura			
keu		duda			
kex		duda			
kfa		duda			
kfb	jag	estructura			
kfd		duda			
kff		duda			
kfg		duda			
kfj		duda			
kfm		duda			
kfn		duda			
kfo		duda			
kfr		duda			
kfw		duda			
kfz		duda			
kgc		duda			
kgg		duda			
kgm		duda			
kgn		duda			
kgp		duda			
kgq		duda			
kgs		duda			
kgw		duda			
kgx		duda			
kha		duda			
khc	kyb	estructura			
khi		duda			
khj		duda			
khk		duda			
khm		duda			
khn		duda			
khp		duda			
khq		duda			
kht		duda			
khw		duda			
khx		duda			
khz	kkg	estructura			
kic		duda			
kid		duda			
kif	kkk	estructura			
kih		duda			
kij	kgf	estructura			
kik	ikw	estructura			
kin		duda			
kiq		duda			
kiv		duda			
kiz		duda			
kjc		duda			
kje		duda			
kjf		duda			
kjh		duda			
kjk		duda			
kjl		duda			
kjm		duda			
kjn		duda			
kjp		duda			
kjs	klk	estructura			
kju		duda			
kjv		duda			
kjy		duda			
kki		duda			
kkm		duda			sí
kkn		duda			sí
kko		duda			
kkp		duda			sí
kkq		duda			
kkr		duda			sí
kks	isr	estructura			
kkt		duda			
kku		duda			sí
kkv	hmw	estructura			
kkw	jxk	estructura			
kkx		duda			
kky		duda			
kkz		duda			sí
kle		duda			
klh		duda			
kli		duda			
kll		duda			
klm		duda			
kln		duda			
klo		duda			sí
klp		duda			sí
klq		duda			
klr		duda			
kls		duda			
klt		duda			sí
klu		duda			
klv		duda			
klw		duda			sí
klx		duda			
klz		duda			
kma		duda			
kmc		duda			
kmi		duda			
kmj		duda			
kml		duda			sí
kmp		duda			sí
kmq		duda			
kms		duda			
kmt		duda			sí
kmw		duda			sí
kmy		duda			
kmz		duda			
kna		duda			sí
knb		duda			sí
knc		duda			sí
knh		duda			
knj		duda			
knk		duda			
knl		duda			
knp		duda			
knr		duda			sí
kns		duda			sí
knt		duda			
knu		duda			
knv	kgw	estructura			sí
knw		duda			
kod		duda			sí
koe		duda			
kof		duda			sí
kol	lvq	estructura			
koq	kri	estructura			
kos		duda			sí
kot		duda			
kou		duda			
kov		duda			
kox		duda			
kpb		duda			
kpc		duda			sí
kpe		duda			
kpf		duda			
kpi		duda			
kpj		duda			
kpl		duda			
kpm	ksw	estructura			
kpn		duda			
kpo	mby	estructura			
kpr		duda			
kps	kss	estructura			
kpt		duda			
kpw		duda			
kpx		duda			
kpy	ksn	estructura			
kpz		duda			
kqa		duda			
kqj	lwd	estructura			
kql		duda			
kqm		duda			sí
kqo	ktn	estructura			sí
kqu	kte	estructura			sí
kqy		duda			sí
kqz		duda			sí
kra		duda			sí
krb		duda			sí
krc	kum	estructura			sí
krd		duda			sí
kri		duda			sí
krk		duda			
krn		duda			
kro		duda			
krp	kbj	estructura			
krt		duda			sí
krw		duda			
ksc	klx	estructura			
ksd	jbs	estructura			
ksg	hvi	estructura			
ksh	kvo	estructura			
ksl		duda			sí
ksp	hgm	estructura			
ksq		duda			sí
ksr		duda			
kss		duda			
kst		duda			
ksu		duda			
ksv		duda			sí
ksx		duda			sí
kta	hks	estructura			
kte		duda			
kth		duda			
kti		duda			sí
ktj		duda			sí
ktm		duda			sí
ktp		duda			
ktr		duda			
ktu		duda			
ktw		duda			
ktx		duda			
ktz		duda			
kua		duda			
kud		duda			
kue		duda			
kuf		duda			sí
kug		duda			
kuh		duda			sí
kui		duda			
kuj		duda			
kun		duda			
kuo	kmn	estructura			
kup		duda			
kus		duda			
kut		duda			
kux		duda			
kuz		duda			
kva		duda			sí
kvc		duda			
kvd		duda			sí
kvf		duda			
kvg		duda			
kvi		duda			sí
kvj		duda			
kvr		duda			
kvv	kvb	estructura			
kvx		duda			
kwa		duda			
kwb		duda			
kwh		duda			
kwp		duda			
kwy		duda			
kwz		duda			
kxb		duda			
kxe		duda			
kxh		duda			
kxm	hlv	estructura			
kxo		duda			
kxq		duda			
kxr		duda			
kxt		duda			
kxz		duda			
kyb		duda			
kyg		duda			
kyl		duda			
kyo		duda			
lae		duda			
lah	lhp	estructura			
lai	lhq	estructura			
lam		duda			
lan		duda			
laq		duda			
lat	kvq	estructura			
lav	mgv	estructura			
lbc	loi	estructura			
lbd		duda			
lbe		duda			
lbm		duda			
lbn	ivv	estructura			
lbo	lcs	estructura			
lbp	lkt	estructura			
lbq	ldk	estructura			
lbr	jhw	estructura			
lbz		duda			
lcc	jwh	estructura			
lce		duda			
lcm		duda			
lcn	hlz	estructura			
lco		duda			
lcq		duda			
lcw		duda			
lcz		duda			
lda		duda			
ldd		duda			
ldi	iug	estructura			
ldk	llz	estructura			
ldn	lmc	estructura			
ldp	lme	estructura			
ldr	lmg	estructura			
lds		duda			
ldt		duda			sí
ldy		duda			
ldz		duda			
lea		duda			
leg		duda			
leh	ldr	estructura			
lek		duda			
lep		duda			
les		duda			
lew		duda			
lfb		duda			
lfd		duda			
lfe		duda			
lfg		duda			
lfh		duda			
lfs		duda			
lfu		duda			
lfx	lhi	estructura			
lfy		duda			
lfz	iue	estructura			
lgg		duda			
lgp		duda			
lgt		duda			
lgx	lpe	estructura			
lgz	lpg	estructura			
lhe		duda			
lhf	kyy	estructura			
lhl		duda			
lho		duda			
lht		duda			
lhw		duda			
lhz		duda			
lia		duda			
lic		duda			
lid		duda			
lie		duda			
lif	lku	estructura			
lig	kby	estructura			
lij		duda			
lik		duda			
lil		duda			
lim		duda			
lin		duda			
liq		duda			
liz		duda			
ljc		duda			
ljk		duda			
ljl		duda			
ljw		duda			
lka	kqv	estructura			
lkb		duda			
lkh		duda			
lki		duda			
lkj	lfg	estructura			
lkk		duda			
lkn	hns	estructura			
lko		duda			
lkp		duda			
lks		duda			
lkt	lfe	estructura			
lle		duda			
lll		duda			
llp		duda			
llz		duda			
lmc		duda			
lmd		duda			
lmk	hev	estructura			
lmq		duda			
lmz		duda			
lnb		duda			
lnc	lma	estructura			
lni		duda			
lno		duda			
lob	ltu	estructura			
log		duda			
loh		duda			
lok	lqs	estructura			sí
lol		duda			sí
lom		duda			
lon		duda			
lop		duda			
lor		duda			sí
lot		duda			
lou		duda			sí
loy		duda			sí
loz		duda			
lpb		duda			
lpe		duda			sí
lpf	hrr	estructura			
lpi		duda			
lpj		duda			sí
lpk		duda			
lpo	mgc	estructura			
lpp		duda			
lpr		duda			
lps		duda			
lpt		duda			
lpw		duda			
lpx		duda			
lqa		duda			
lqb		duda			
lqf		duda			
lqn		duda			sí
lqo		duda			
lqv		duda			
lqw		duda			
lqy		duda			
lqz		duda			
lra		duda			
lrb		duda			
lri		duda			
lrj		duda			
lrk	lkv	estructura			
lrl		duda			
lrm		duda			
lro	lkx	estructura			
lrq	ihh	estructura			
lrr		duda			
lrs		duda			
lrt		duda			
lru		duda			
lrw	lli	estructura			
lry	lfd	estructura			
lrz		duda			
lsa		duda			
lsc		duda			
lsd		duda			
lsh		duda			
lsk	ian	estructura			
lsl		duda			
lsm		duda			
lsn	lst	estructura			
lsr		duda			
lsv		duda			
lsx		duda			
lsy		duda			sí
lta		duda			
ltb		duda			
ltg		duda			
ltl		duda			
ltp		duda			
ltr	mdr	estructura			
ltv		duda			
luc		duda			
lue		duda			
luf	hpn	estructura			
lug		duda			
lun		duda			
luo		duda			
luq		duda			sí
lur	joz	estructura			
lus		duda			
lut		duda			
luu		duda			
luv		duda			
luy		duda			sí
luz		duda			
lva		duda			sí
lvb		duda			
lvd		duda			
lve		duda			
lvh	lxh	estructura			
lvi		duda			
lvj		duda			
lvp		duda			
lvs		duda			
lvt	jmo	estructura			
lvz		duda			
lwa		duda			
lwb		duda			sí
lwc		duda			
lwd		duda			
lwh		duda			
lwi		duda			
lwj		duda			
lwk		duda			
lwn		duda			
lwq		duda			
lwr		duda			
lws		duda			
lwu		duda			
lwv	htu	estructura			
lww	jvp	estructura			
lwy		duda			
lwz		duda			sí
lxb		duda			
lxf		duda			
lxi		duda			sí
lxj		duda			
lxl	jhz	estructura			
lxm		duda			
lxp	lld	estructura			
lxs		duda			sí
lxt	mcz	estructura			
lxw		duda			sí
lxx		duda			
lxy		duda			
lxz		duda			
lya		duda			
lyb		duda			
lyc		duda			
lyd		duda			
lyg		duda			
lyh		duda			
lyi		duda			
lyj		duda			sí
lyk		duda			sí
lyn		duda			
lyo		duda			
lys		duda			sí
lyw	ibv	estructura			
lzb		duda			
lzd		duda			
lze		duda			sí
lzf		duda			
lzg		duda			
lzh		duda			
lzj		duda			
lzk	lpl	estructura			
lzl		duda			
lzo	kah	estructura			
lzp		duda			
lzq		duda			
lzr		duda			
lzs		duda			
lzv		duda			
lzw		duda			
lzx		duda			
lzz		duda			
maa		duda			
mac		duda			
mad		duda			
mae		duda			
mag		duda			
mah		duda			
mai		duda			
maj		duda			
maq		duda			
mar		duda			
mas		duda			
mat		duda			
mbc	mak	estructura			
mbd		duda			
mbe		duda			
mbi		duda			
mbj		duda			
mbk		duda			
mbm	lxu	estructura			
mbo		duda			
mbp		duda			
mbt		duda			
mbu		duda			
mbw		duda			
mbz		duda			
mce		duda			
mcf		duda			
mcj		duda			
mcm		duda			
mcp		duda			
mcq		duda			
mcr		duda			
mct		duda			
